Number of Bills: 2804
51 	SB 	Zaffirini 	Relating to financial eligibility for the Texas home living (TxHmL) waiver program. 	01/24/2017 	S 	Referred to Health &amp; Human Services 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB51
52 	SB 	Zaffirini 	Relating to the reimbursement of providers for the provision of certain home telemonitoring services under Medicaid. 	01/24/2017 	S 	Referred to Health &amp; Human Services 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB52
53 	SB 	Zaffirini 	Relating to the period of continuous eligibility for the medical assistance program. 	01/24/2017 	S 	Referred to Health &amp; Human Services 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB53
54 	SB 	Zaffirini 	Relating to the immunization data included in and excluded from the immunization registry. 	01/24/2017 	S 	Referred to Health &amp; Human Services 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB54
55 	SB 	Zaffirini 	Relating to a study of the use of a patient-reported outcomes registry in conjunction with health coverage for certain governmental employees. 	01/24/2017 	S 	Referred to State Affairs 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB55
56 	SB 	Zaffirini 	Relating to the acknowledgment by management of risks identified in state agency information security plans. 	01/24/2017 	S 	Referred to Business &amp; Commerce 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB56
57 	SB 	Zaffirini 	Relating to the use of a wireless communication device by a state officer or employee while operating a motor vehicle. 	01/24/2017 	S 	Referred to Business &amp; Commerce 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB57
58 	SB 	Zaffirini 	Relating to notification requirements applicable to certain state contracts. 	01/24/2017 	S 	Referred to Finance 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB58
59 	SB 	Zaffirini 	Relating to energy and water management planning and reporting requirements for state agencies and institutions of higher education. 	01/24/2017 	S 	Referred to Business &amp; Commerce 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB59
60 	SB 	Zaffirini 	Relating to the preference given by state and local governmental entities, including public institutions of higher education, to agricultural products produced, processed, or grown in this state. 	01/24/2017 	S 	Referred to Agriculture, Water, &amp;  Rural Affairs 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB60
