District,House URL,TLO URL,House Members,First Name,Party
89,http://www.house.state.tx.us/members/member-page/?district=89,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A3540,Laubenberg, Jodie,R
67,http://www.house.state.tx.us/members/member-page/?district=67,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2475,Leach, Jeff,R
35,http://www.house.state.tx.us/members/member-page/?district=35,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2485,Longoria, Oscar,D
43,http://www.house.state.tx.us/members/member-page/?district=43,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2065,Lozano, Jose,R
38,http://www.house.state.tx.us/members/member-page/?district=38,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A3610,Lucio III, Eddie,D
39,http://www.house.state.tx.us/members/member-page/?district=39,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A3780,"Martinez ""Mando""", Armando,D
16,http://www.house.state.tx.us/members/member-page/?district=16,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2900,Metcalf, Will,R
108,http://www.house.state.tx.us/members/member-page/?district=108,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A3075,Meyer, Morgan,R
26,http://www.house.state.tx.us/members/member-page/?district=26,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2500,Miller Rick, Rick,R
124,http://www.house.state.tx.us/members/member-page/?district=124,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A3135,Minjarez, Ina,D
78,http://www.house.state.tx.us/members/member-page/?district=78,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A3850,Moody, Joe,D
30,http://www.house.state.tx.us/members/member-page/?district=30,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A3870,Morrison, Gene,R
36,http://www.house.state.tx.us/members/member-page/?district=36,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2060,Muñoz Jr., Sergio,D
133,http://www.house.state.tx.us/members/member-page/?district=133,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A3875,Murphy, Jim,R
53,http://www.house.state.tx.us/members/member-page/?district=53,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2965,Murr, Andrew,R
107,http://www.house.state.tx.us/members/member-page/?district=107,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A3235,Neave, Victoria,D
74,http://www.house.state.tx.us/members/member-page/?district=74,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2505,Nevárez, Poncho,D
37,http://www.house.state.tx.us/members/member-page/?district=37,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A3880,Oliveira, Rene,D
130,http://www.house.state.tx.us/members/member-page/?district=130,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A3535,Oliverson, Tom ,"F,R"
77,http://www.house.state.tx.us/members/member-page/?district=77,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A3545,Ortega, Evelina ,"F,D"
9,http://www.house.state.tx.us/members/member-page/?district=9,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2515,Paddie, Chris,R
63,http://www.house.state.tx.us/members/member-page/?district=63,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A4090,Parker, Tan,R
129,http://www.house.state.tx.us/members/member-page/?district=129,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A3090,Paul, Dennis,R
144,http://www.house.state.tx.us/members/member-page/?district=144,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2535,Perez, Mary Ann,R
21,http://www.house.state.tx.us/members/member-page/?district=21,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2905,Phelan, Dade,R
62,http://www.house.state.tx.us/members/member-page/?district=62,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A4160,Phillips, Larry,R
79,http://www.house.state.tx.us/members/member-page/?district=79,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A4180,Pickett, Joe,D
87,http://www.house.state.tx.us/members/member-page/?district=87,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2185,Price, Four,R
14,http://www.house.state.tx.us/members/member-page/?district=14,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2315,Raney, John,R
42,http://www.house.state.tx.us/members/member-page/?district=42,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A4215,Raymond, Richard,D
27,http://www.house.state.tx.us/members/member-page/?district=27,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2040,Reynolds, Ron,D
115,http://www.house.state.tx.us/members/member-page/?district=115,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A3080,Rinaldi, Matt,R
126,http://www.house.state.tx.us/members/member-page/?district=126,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A3255,Roberts, Kevin ,"F,R"
51,http://www.house.state.tx.us/members/member-page/?district=51,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A4270,Rodriguez Eddie, Eddie,D
125,http://www.house.state.tx.us/members/member-page/?district=125,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2550,Rodriguez Justin, Justin,D
90,http://www.house.state.tx.us/members/member-page/?district=90,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A3060,Romero Jr., Ramon,D
110,http://www.house.state.tx.us/members/member-page/?district=110,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2555,Rose, Toni,D
70,http://www.house.state.tx.us/members/member-page/?district=70,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2715,Sanford, Scott,R
6,http://www.house.state.tx.us/members/member-page/?district=6,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2725,Schaefer, Matt,R
132,http://www.house.state.tx.us/members/member-page/?district=132,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A3095,Schofield, Mike,R
13,http://www.house.state.tx.us/members/member-page/?district=13,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A3115,Schubert, Leighton,R
66,http://www.house.state.tx.us/members/member-page/?district=66,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2995,Shaheen, Matt,R
59,http://www.house.state.tx.us/members/member-page/?district=59,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2735,Sheffield, J.D.,R
55,http://www.house.state.tx.us/members/member-page/?district=55,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A4455,Shine, Hugh,R
65,http://www.house.state.tx.us/members/member-page/?district=65,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2740,Simmons, Ron,R
86,http://www.house.state.tx.us/members/member-page/?district=86,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A4530,Smithee, John,R
68,http://www.house.state.tx.us/members/member-page/?district=68,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2745,Springer, Drew,R
85,http://www.house.state.tx.us/members/member-page/?district=85,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2755,Stephenson, Phil,R
92,http://www.house.state.tx.us/members/member-page/?district=92,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2765,Stickland, Jonathan,R
